id,order,year,month,product code,title,module code,type,system,setting,confidence,edition,authors,cover_url,cover_artist,semester,season
666,,1996,,9514,Forged of Darkness,RR12,accessory,AD&D,Ravenloft,not verified,,,,,,
667,,1996,,9515,Den of Thieves,,accessory,AD&D,,not verified,,Wes Nicholson,https://www.tsrarchive.com/add/add-acc-den.jpg,,,
668,,1996,,9516,Faiths & Avatars,,accessory,AD&D,Forgotten Realms,not verified,,,,,,
669,,1996,,9518,Treasure Tales,,accessory,AD&D,,not verified,,Loren Coleman,https://www.tsrarchive.com/add/add-gr5.jpg,,,
670,,1996,,9520,The Vilhon Reach,,accessory,AD&D,Forgotten Realms,not verified,,,,,,
671,,1996,,9521,"I, Tyrant",,accessory,AD&D,,not verified,,Aaron Allston,https://www.tsrarchive.com/add/add-ma-eye.jpg,,,
672,,1996,,9522,Eye of Doom,,adventure,AD&D,,not verified,,Thomas M. Reid,https://www.tsrarchive.com/add/add-ma-eye1.jpg,,,
673,,1996,,9524,Volo's Guide to the Dalelands,,accessory,AD&D,Forgotten Realms,not verified,,,,,,
674,,1996,,9525,Heroes' Lorebook,,accessory,AD&D,Forgotten Realms,not verified,,,,,,
675,,1996,,9527,A Guide to Transylvania,,accessory,AD&D,Ravenloft,not verified,,,,,,
676,,1996,,9528,World Builder's Guidebook,,accessory,AD&D,,not verified,,,,,,
677,,1996,,9529,Eye to Eye,,adventure,AD&D,,not verified,,,,,,
678,,1996,,9530,Eye of Pain,,adventure,AD&D,,not verified,,Thomas M. Reid,https://www.tsrarchive.com/add/add-ma-eye2.jpg,,,
679,,1996,,9531,How the Mighty are Fallen,,adventure,AD&D,Forgotten Realms,not verified,,,,,,
680,,1996,,9533,The Gates of Firestorm Peak,,adventure,AD&D,,not verified,,Bruce Cordell,https://www.tsrarchive.com/add/add-adv-firestorm.jpg,,,
681,,1996,,9534,Death Ascendant,,adventure,AD&D,Ravenloft,not verified,,Monte Cook,https://www.tsrarchive.com/add/add-adv-hero.jpg,,,
682,,1996,,9535,Volo's Guide to All Things Magical,,accessory,AD&D,Forgotten Realms,not verified,,,,,,
683,,1996,,9537,Death Unchained,,adventure,AD&D,Ravenloft,not verified,,,,,,
684,,1997,8,1159,Lands of Intrigue,,boxed set,AD&D,Forgotten Realms,likely,,,,,2,
685,,1997,8,2174,Domains of Dread,,hardcover,AD&D,Ravenloft,likely,,,,,2,
686,,1997,9,2630,Faces of Evil: The Fiends,,accessory,AD&D,Planescape,verified,,,,,2,
687,,1997,10,2628,The Great Modron March,,adventure,AD&D,Planescape,verified,,,,,2,
688,,1997,11,2631,Dead Gods,,adventure,AD&D,Planescape,verified,,,,,2,
689,,1997,,1145,Tale of the Comet,,boxed set,AD&D,,not verified,,Skip Williams,https://www.tsrarchive.com/add/add-tome-rod.jpg,,,
690,,1997,,2165,"Wizard's Spell Compendium, Volume Two",,accessory,AD&D,,not verified,,,https://www.tsrarchive.com/add/add-wsc1-1st.jpg,,,
691,,1997,,3133,Tribes of the Heartless Waste,,accessory,AD&D,Birthright,not verified,,,,,,
692,,1997,,3134,The Book of Priestcraft,,accessory,AD&D,Birthright,not verified,,,,,,
693,,1997,,3139,King of the Giantdowns,,adventure,AD&D,Birthright,not verified,,,,,,
694,,1997,,9531,Four from Cormyr,,adventure,AD&D,Forgotten Realms,not verified,,,,,,
695,,1997,,9539,The Sea Devils,,accessory,AD&D,,not verified,,Skip Williams,https://www.tsrarchive.com/add/add-ma-sea.jpg,,,
696,,1997,,9540,Evil Tide,,adventure,AD&D,,not verified,,,,,,
697,,1997,,9542,Night of the Shark,,adventure,AD&D,,not verified,,Bruce R. Cordell,https://www.tsrarchive.com/add/add-ma-sea1.jpg,,,
698,,1997,,9544,Castle Spulzeer,,adventure,AD&D,Forgotten Realms,not verified,,,,,,
699,,1997,,9545,Prayers from the Faithful,,accessory,AD&D,Forgotten Realms,not verified,,,,,,
700,,1997,,9549,Children of the Night: Ghosts,,accessory,AD&D,Ravenloft,not verified,,Bruce R. Cordell,https://www.tsrarchive.com/add/add-acc-college.jpg,,,
701,,1997,,9556,The Forgotten Terror,,adventure,AD&D,Ravenloft,not verified,,Bruce R. Cordell,https://www.tsrarchive.com/add/add-acc-dbg.jpg,,,
702,,1997,,9560,Sea of Blood,,adventure,AD&D,,not verified,,Bruce R. Cordell,https://www.tsrarchive.com/add/add-ma-sea3.jpg,,,
703,,1997,,9561,The Star of Kolhapur,,adventure,AD&D,,not verified,,,,,,
704,,1997,,9563,Powers & Pantheons,,accessory,AD&D,Forgotten Realms,not verified,,,,,,
705,,1997,,9568,Of Ships and the Sea,DMGR9,accessory,AD&D,,not verified,,Penny & Skip Williams,https://www.tsrarchive.com/add/add-adv-moon.jpg,,,
706,,1998,3,2635,Planescape Monstrous Compendium Appendix III,,accessory,AD&D,Planescape,verified,,,,,1,
707,,1998,7,1162,Return to the Tomb of Horrors,,boxed set,AD&D,Greyhawk,likely,,Bruce R. Cordell,https://www.tsrarchive.com/add/add-tome-tomb.jpg,,2,
708,,1998,8,2633,A Guide to the Ethereal Plane,,accessory,AD&D,Planescape,verified,,,,,2,
709,,1998,9,1147,Empires of the Shining Sea,,boxed set,AD&D,Forgotten Realms,likely,,,,,2,
710,,1998,10,2632,Faction War,,adventure,AD&D,Planescape,verified,,,,,2,
711,,1998,11,2634,The Inner Planes,,accessory,AD&D,Planescape,verified,,,,,2,
712,,1998,,2173,Monstrous Compendium Annual Volume Four,,accessory,AD&D,,not verified,,,https://www.tsrarchive.com/add/add-mcann4.jpg,,,
713,,1998,,2175,"Wizard's Spell Compendium, Volume Three",,accessory,AD&D,,not verified,,,https://www.tsrarchive.com/add/add-wsc3.jpg,,,
714,,1998,,2177,"Wizard's Spell Compendium, Volume Four",,accessory,AD&D,,not verified,,,https://www.tsrarchive.com/add/add-wsc4.jpg,,,
715,,1998,,2629,Tales from the Infinite Staircase,,accessory,AD&D,Planescape,not verified,,,,,,
716,,1998,,3135,Player's Secrets of Hogunmark,,accessory,AD&D,Birthright,not verified,,,,,,
717,,1998,,9532,Seeds of Chaos,,adventure,AD&D,Dragonlance,not verified,,Richard Baker,https://www.tsrarchive.com/add/add-acc-wbg.jpg,,,
718,,1998,,9536,Moonlight Madness,,adventure,AD&D,,not verified,,Thomas M. Reid,https://www.tsrarchive.com/add/add-ma-eye3.jpg,,,
